x,y,id,s
-0.16,0.01,"d_31.txt",4.0
0.37,-0.02,"d_32.txt",4.0
0.36,-0.28,"d_33.txt",4.0
-0.01,0.05,"d_34.txt",4.0
0.19,0.02,"d_35.txt",4.0
-0.27,0.42,"d_36.txt",4.0
0.09,-0.12,"dd_1.txt",4.0
0.43,0.08,"dd_2.txt",6.02
0.16,0.35,"dd_3.txt",4.0
0.35,0.18,"dd_4.txt",4.0
0.36,-0.26,"dd_5.txt",4.0
0.28,-0.14,"dd_6.txt",4.0
-0.54,-0.04,"dd_7.txt",4.0
0.15,-0.05,"dd_8.txt",4.0
-0.10,0.48,"dd_9.txt",4.0
0.22,0.44,"dd_10.txt",4.0
0.59,-0.23,"dd_11.txt",4.0
0.65,0.25,"dd_12.txt",4.0
0.67,-0.16,"dd_13.txt",4.0
0.55,-0.15,"dd_14.txt",4.0
-0.03,-0.25,"dd_15.txt",4.0
0.68,-0.10,"dd_16.txt",4.0
0.13,0.25,"dd_17.txt",4.0
-0.51,-0.07,"dd_18.txt",4.0
-0.27,0.15,"dd_19.txt",4.0
-0.40,0.37,"dd_20.txt",4.0
0.53,-0.17,"dd_21.txt",4.0
0.53,0.16,"dd_22.txt",4.0
-0.38,-0.31,"dd_23.txt",4.0
-0.40,-0.00,"dd_24.txt",4.0
-0.55,-0.06,"dd_25.txt",4.0
0.41,0.52,"dd_26.txt",4.0
0.66,-0.09,"dd_27.txt",4.0
-0.54,-0.13,"dd_28.txt",4.0
-0.49,-0.04,"dd_29.txt",4.0
0.22,-0.31,"dd_30.txt",4.0
-0.00,0.47,"dd_31.txt",4.0
-0.45,-0.03,"dd_32.txt",4.0
-0.55,-0.01,"dd_33.txt",4.0
-0.54,0.10,"deathstuff_1.txt",4.0
0.54,-0.36,"defuge_1.txt",4.0
0.65,-0.14,"defuge_2.txt",4.0
0.64,-0.44,"defuge_3.txt",4.0
0.00,-0.23,"defuge_4.txt",4.0
0.71,-0.25,"defuge_5.txt",4.0
-0.04,-0.18,"defuguefugue_1.txt",21.07
-0.28,0.09,"defuguefugue_2.txt",7.97
-0.60,-0.19,"desktop.ini_1.txt",4.0
-0.57,-0.16,"directory_1.txt",5.65
-0.43,0.16,"dirty_1.txt",8.22
-0.57,-0.10,"dirty_2.txt",4.0
-0.59,-0.19,"duskdance.bvh_1.txt",479.87
0.32,-0.08,"e_1.txt",4.0
0.50,-0.07,"e_2.txt",4.0
0.16,0.65,"e_3.txt",4.0
0.34,-0.15,"e_4.txt",4.0
0.40,-0.35,"e_5.txt",4.0
0.42,-0.24,"e_6.txt",4.0
0.19,-0.09,"e_7.txt",4.0
0.05,-0.11,"e_8.txt",4.0
0.42,0.18,"e_9.txt",4.0
0.03,0.15,"e_10.txt",4.0
0.38,0.07,"e_11.txt",4.0
0.19,-0.20,"e_12.txt",4.0
0.38,0.21,"e_13.txt",4.0
0.55,-0.36,"e_14.txt",4.0
0.58,-0.24,"e_15.txt",4.0
0.52,-0.11,"e_16.txt",4.0
-0.49,-0.16,"e_17.txt",4.0
0.48,-0.34,"e_18.txt",4.0
0.28,0.20,"e_19.txt",4.0
0.63,-0.13,"e_20.txt",4.0
0.35,-0.15,"e_21.txt",4.0
0.37,-0.28,"e_22.txt",4.0
0.60,-0.31,"e_23.txt",4.0
0.02,0.12,"e_24.txt",4.0
-0.00,-0.04,"e_25.txt",4.0
0.62,0.10,"e_26.txt",4.0
0.27,-0.32,"e_27.txt",4.0
-0.23,0.04,"e_28.txt",4.0
0.24,-0.37,"e_29.txt",4.0
0.60,0.15,"e_30.txt",4.0
0.28,0.23,"e_31.txt",4.0
0.53,-0.00,"e_32.txt",4.0
-0.16,-0.30,"e_33.txt",4.0
0.81,-0.29,"e_34.txt",4.0
0.21,-0.06,"earlyselection_1.txt",4.0
0.14,-0.36,"earlyselection_2.txt",4.0
-0.01,0.13,"earlyselection_3.txt",4.0
0.56,-0.06,"earlyselection_4.txt",4.0
0.28,-0.18,"earlyselection_5.txt",4.0
0.59,-0.15,"earlyselection_6.txt",4.0
0.09,-0.25,"earlyselection_7.txt",4.0
0.55,-0.22,"earlyselection_8.txt",4.0
-0.09,0.50,"earlyselection_9.txt",4.0
0.60,-0.06,"earlyselection_10.txt",4.0
-0.30,0.51,"earlyselection_11.txt",4.0
